sig, CR, VR, SR, CR_TrigCut, VR_TrigCut, SR_TrigCut, CR_ratio, VR_ratio, SR_ratio
sig_NMSSM_bbbb_MX_1600_MY_300, 1720.0, 2365.0, 14866.0, 1719.0, 2365.0, 14861.0, 0.999418604651, 1.0, 0.999663662048
sig_NMSSM_bbbb_MX_1600_MY_400, 1787.0, 2563.0, 16199.0, 1787.0, 2562.0, 16196.0, 1.0, 0.999609832228, 0.999814803383
sig_NMSSM_bbbb_MX_1600_MY_500, 2157.0, 3037.0, 19314.0, 2157.0, 3037.0, 19308.0, 1.0, 1.0, 0.999689344517
sig_NMSSM_bbbb_MX_1600_MY_600, 2231.0, 3135.0, 21699.0, 2230.0, 3135.0, 21695.0, 0.999551770506, 1.0, 0.999815659708
sig_NMSSM_bbbb_MX_1600_MY_700, 2386.0, 3499.0, 24739.0, 2384.0, 3499.0, 24735.0, 0.999161777033, 1.0, 0.999838311977
sig_NMSSM_bbbb_MX_1600_MY_800, 2751.0, 3976.0, 30380.0, 2750.0, 3976.0, 30378.0, 0.99963649582, 1.0, 0.999934167215
sig_NMSSM_bbbb_MX_1600_MY_900, 2568.0, 3833.0, 29670.0, 2568.0, 3832.0, 29663.0, 1.0, 0.999739107748, 0.999764071453
sig_NMSSM_bbbb_MX_1600_MY_1000, 2779.0, 3879.0, 29247.0, 2778.0, 3879.0, 29244.0, 0.99964015833, 1.0, 0.999897425377
sig_NMSSM_bbbb_MX_1600_MY_1200, 3117.0, 3706.0, 24701.0, 3116.0, 3705.0, 24695.0, 0.999679178697, 0.999730167296, 0.999757094854
sig_NMSSM_bbbb_MX_1600_MY_1400, 3773.0, 3834.0, 23999.0, 3768.0, 3826.0, 23971.0, 0.998674794593, 0.997913406364, 0.99883328472
