File name: lee_sign_all_neg.root
Data largest local sign: 
1 -7.0425 -4 -4
MC toys below min local 

1 -3.48825 400 250

1 -3.94875 600 150

1 -2.85225 600 150

1 -2.98875 600 150

1 -3.25725 400 250

1 -3.09675 600 125

1 -3.37275 600 125

1 -3.09375 600 150

1 -3.44625 600 125

1 -3.48225 600 125

1 -3.84225 600 125

1 -2.97525 600 150

1 -3.60075 900 125

1 -3.08175 600 125

1 -3.86925 400 250

1 -4.06875 400 250

1 -2.75325 600 150

1 -2.84325 600 150

1 -3.39825 600 125

1 -3.04275 600 150

1 -3.24075 600 125

1 -3.80625 400 250

1 -3.51075 600 150

1 -3.71925 600 150

1 -3.83325 600 150

1 -3.46725 600 150

1 -3.13425 400 250

1 -3.45075 400 250

1 -3.39825 400 250

1 -3.82125 600 150

1 -3.32925 400 250

1 -3.25725 400 250

1 -3.51975 400 250

1 -3.33975 400 250

1 -4.15275 400 250

1 -3.86025 400 250

1 -3.09225 800 150

1 -2.39325 400 70

1 -4.32825 600 150

1 -3.76875 600 150

1 -3.86325 600 150

1 -2.86425 600 150

1 -3.07875 650 150

1 -4.15275 400 250

1 -3.78675 600 150

1 -3.12375 900 200

1 -3.00225 600 150

1 -2.81775 400 250

1 -3.70725 600 150

1 -3.22725 600 150

1 -3.60375 700 150

1 -3.92175 600 150

1 -2.94525 600 150

1 -3.00075 600 150

1 -3.22725 1000 125

1 -3.51525 400 250

1 -3.34575 400 250

1 -3.98775 400 250

1 -3.05775 600 150

1 -2.50725 400 250

1 -3.86925 600 150

1 -3.23775 600 150

1 -2.72775 700 125

1 -2.84175 1100 400

1 -2.86575 650 150

1 -3.47325 600 150

1 -3.35925 600 125

1 -3.25125 600 150

1 -3.47475 600 125

1 -3.56025 600 125

1 -3.54675 600 150

1 -3.24225 650 150

1 -3.72675 600 150

1 -2.83725 400 250

1 -3.74775 600 125

1 -3.74625 600 150

1 -2.78325 600 150

1 -3.06675 600 150

1 -2.96325 400 250

1 -3.84075 600 125

1 -4.07625 600 150

1 -3.69975 600 125

1 -3.58425 600 150

1 -3.11175 600 150

1 -2.74575 400 250

1 -3.41025 1200 125

1 -4.49025 400 250

1 -3.76275 650 125

1 -4.01325 400 250

1 -3.73275 600 150

1 -3.82125 600 150

1 -3.78375 600 150

1 -3.47325 600 150

1 -3.51225 600 150

1 -3.83025 600 150

1 -3.47775 400 250

1 -4.35975 400 250

1 -3.86775 600 150

1 -2.85525 400 250

1 -2.94825 600 150

1 -3.72075 600 150

1 -3.79725 600 150

1 -2.80425 400 100

1 -2.69775 600 150

1 -2.73675 400 250

1 -3.81525 600 150

1 -3.46575 400 250

1 -3.08475 400 250

1 -3.70725 400 250

1 -4.06275 400 250

1 -3.92925 400 250

1 -3.74475 600 150

1 -2.83875 600 150

1 -3.78825 600 125

1 -2.99025 600 150

1 -3.68325 400 250

1 -3.43725 600 125

1 -4.14525 400 250

1 -3.33075 600 125

1 -3.56175 600 125

1 -4.21575 600 150

1 -3.16275 400 250

1 -2.70675 600 150

1 -3.69225 600 125

1 -3.68175 600 150

1 -3.79425 400 250

1 -3.24675 600 150

1 -3.51075 600 150

1 -3.48525 400 250

1 -3.87675 400 250

1 -3.08925 600 125

1 -2.92425 600 125

1 -2.97375 400 250

1 -3.30975 600 150

1 -2.98125 400 250

1 -2.84775 1400 600

1 -3.48525 600 150

1 -3.35625 600 150

1 -3.48525 400 250

1 -3.34575 600 150

1 -3.11625 600 125

1 -2.99175 600 150

1 -3.57075 600 150

1 -3.02775 650 125

1 -3.70725 400 250

1 -4.63275 400 250

1 -3.26325 600 150

1 -4.50225 600 125

1 -3.39525 600 125

